mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.23002910614013672,0.00210019185416188,0.02082649866739909,0.0015468814752358196,1.0,0.1,5,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0.9021776008707104,0.8934167720721462,0.8923480288867813,0.8959808006098792,0.004403468564934031,1
0.31425897280375165,0.004001771318959972,0.03851620356241862,0.0073619036803691355,0.8,0.1,5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0.9023118585451592,0.8917694293213118,0.892181210741569,0.8954208328693466,0.004875590024673795,2
0.321005900700887,0.012881276444491926,0.02598849932352702,0.0015241991713463928,0.8,0.1,5,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.8997794136640667,0.8913333360828841,0.8898282825892868,0.8936470107787459,0.004379579155243534,3
0.2026988665262858,0.009787308415674616,0.019320011138916016,0.0028101397562317514,1.0,0.1,5,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.8986409910712676,0.8917269921744164,0.8888712218186412,0.8930797350214418,0.004101587718597493,4
0.3348633448282878,0.008793407947751332,0.0309909184773763,0.002316976116279376,1.0,0.05,5,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0.8977128005846992,0.8901239316638204,0.8901876416516148,0.8926747913000449,0.0035625054764714757,5
0.6448741753896078,0.2770192177412212,0.02713950475056966,0.005707675323882895,0.8,0.05,5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0.898160507057699,0.8889021542658667,0.8898611686647581,0.8923079433294413,0.004156866111171483,6
0.25361331303914386,0.018222892413897525,0.028315941492716473,0.0028404779028159384,1.0,0.1,3,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0.8960076087308081,0.8884146154836325,0.8903629255192256,0.8915950499112221,0.00321993628310954,7
0.3295633792877197,0.024752923604938373,0.03122289975484212,0.0020557294037661772,1.0,0.05,5,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.896151851616291,0.8886909453455134,0.8882391145462166,0.8910273038360069,0.00362829438644921,8
0.25975624720255536,0.0033416631090321435,0.028752247492472332,0.0018694928622533938,0.8,0.05,5,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.8950031182077501,0.8879940427362691,0.8893883906292701,0.8907951838577631,0.0030294207512360618,9
0.25113582611083984,0.007540784370276808,0.02611056963602702,0.004376684312565373,0.8,0.1,3,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0.8951829605412678,0.8880098888320407,0.8891590563801918,0.8907839685845,0.003145737241645282,10
0.22080461184183756,0.010412207976338574,0.024071772893269856,0.003146273428660885,1.0,0.1,3,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.8949315937069726,0.8864632664707685,0.8884430516280996,0.8899459706019469,0.0036168324655995172,11
0.2380990187327067,0.012328056052229603,0.023609320322672527,0.002285276239529319,0.8,0.1,3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.8949664334106898,0.8870072434023261,0.8875757492218591,0.8898498086782917,0.0036254366363103643,12
0.24335209528605142,0.010346708815813647,0.036099910736083984,0.0026268926226229042,1.0,0.05,3,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.8892162542738332,0.8842236487567435,0.8845629288621004,0.8860009439642257,0.0022777829919717893,13
0.8133467038472494,0.015290102156953117,0.022594531377156574,0.0030388175921789297,0.8,0.05,3,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.8888766485637686,0.8829212299261984,0.8844943348036919,0.8854307377645529,0.0025198400301092755,14
0.8039416472117106,0.025109621331273,0.024585962295532227,0.0021258093883369696,0.8,0.05,3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.8889178918267358,0.8823591276659157,0.8837004019915721,0.8849924738280746,0.002829185283472539,15
0.2611965338389079,0.02530544876832979,0.03380688031514486,0.005181934820930599,1.0,0.05,3,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.888681936948602,0.8829542245365722,0.8832541064723052,0.8849634226524931,0.0026322352632467006,16
