config_idx,units,layers,activation,optimizer,lr,dropout,l2_strength,epochs_ran,val_auc,test_auc,model_path,history_path
2,32,1,relu,adam,0.001,0.1,0.0,8,0.8649746775627136,0.8802129117681159,demo_artifacts/tuning/nn_grid_search/models/demo_tuned_model_config_2.keras,demo_artifacts/tuning/nn_grid_search/histories/demo_tuned_model_config_2_history.h5
1,16,1,relu,adam,0.001,0.0,0.0,8,0.851296067237854,0.8772310470182758,demo_artifacts/tuning/nn_grid_search/models/demo_tuned_model_config_1.keras,demo_artifacts/tuning/nn_grid_search/histories/demo_tuned_model_config_1_history.h5
3,48,2,relu,adam,0.0003,0.1,1e-05,3,0.8445349335670471,0.8026511471366817,demo_artifacts/tuning/nn_grid_search/models/demo_tuned_model_config_3.keras,demo_artifacts/tuning/nn_grid_search/histories/demo_tuned_model_config_3_history.h5
