units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
48,1,relu,adam,0.001,0.1,1e-05,2,COMPLETED,0.8697707653045654,0.7037037014961243,0.5205479264259338,0.8980000019073486,0.29268044233322144
32,1,relu,adam,0.001,0.2,1e-05,3,COMPLETED,0.8666468262672424,0.7029703259468079,0.48630136251449585,0.8949999809265137,0.28760766983032227
48,1,relu,adam,0.0003,0.1,0.0,4,COMPLETED,0.8646538257598877,0.708737850189209,0.5,0.8970000147819519,0.29336029291152954
32,1,relu,adam,0.0003,0.1,1e-05,0,COMPLETED,0.8495115637779236,0.6666666865348816,0.4931506812572479,0.8899999856948853,0.30111607909202576
16,1,relu,adam,0.0003,0.2,0.0,1,COMPLETED,0.8454051613807678,0.6831682920455933,0.4726027250289917,0.890999972820282,0.3001894950866699
